date,equity
2024-01-02,1000234.9501261204
2024-01-03,995526.2688647101
2024-01-04,992559.5328366666
2024-01-05,993831.1814382622
2024-01-08,995857.8793485593
2024-01-09,988532.5795681973
2024-01-10,995700.8350947644
2024-01-11,996443.1512828177
2024-01-12,998705.9645461382
2024-01-15,1000896.0737963843
2024-01-16,995831.2731122164
2024-01-17,992331.185865274
2024-01-18,992676.2306044422
2024-01-19,991955.698302174
2024-01-22,996190.3283581058
2024-01-23,1000271.9237144089
2024-01-24,1003333.3072575107
2024-01-25,1011135.2027470111
2024-01-26,1013999.0019691226
2024-01-29,1005909.2072857093
2024-01-30,1003275.1950324907
2024-01-31,1001670.5378490514
2024-02-01,1007893.232918031
2024-02-02,1011674.3033560275
2024-02-05,998252.4338161303
2024-02-06,1000469.189078936
2024-02-07,980217.1416389681
2024-02-08,959706.3160966566
2024-02-09,976017.7524317133
2024-02-14,981076.9580874941
2024-02-15,984425.5734131137
2024-02-16,990405.3461535602
2024-02-19,994112.1797802484
2024-02-20,990214.5344185962
2024-02-21,983427.8241187714
2024-02-22,984819.7483739156
2024-02-23,995557.6295680115
2024-02-26,997513.917255007
2024-02-27,978358.1339560442
2024-02-28,975634.8419143071
2024-02-29,982241.9780889426
2024-03-01,1001113.6223936991
2024-03-04,995966.9108902912
2024-03-05,983358.6478747171
2024-03-06,998941.5011667104
2024-03-07,995783.4054644686
2024-03-08,989741.7433630226
2024-03-11,977634.1282514676
2024-03-12,988529.5599100128
2024-03-13,1009045.6079604388
2024-03-14,997484.404519472
2024-03-15,1006720.8310218557
2024-03-18,1027202.4355411988
2024-03-19,1026479.163364041
2024-03-20,1037285.2175941543
2024-03-21,1049326.4804140597
2024-03-22,1053044.2162959562
2024-03-25,1050901.407613557
2024-03-26,1041939.4379769383
2024-03-27,1052276.9784047105
2024-04-03,1060421.181804972
2024-04-04,1061856.4374648107
2024-04-05,1079786.7267066275
2024-04-08,1088464.955485617
2024-04-09,1091427.1015846892
2024-04-10,1078874.1425968288
2024-04-11,1087739.7258768128
2024-04-12,1084996.4796968359
2024-04-15,1045795.9142061162
2024-04-16,1046773.1197845658
2024-04-17,1040678.2668821185
2024-04-18,1040216.5274376859
2024-04-19,1051373.7856851323
2024-04-22,1086089.4925235973
2024-04-23,1078010.8609124334
2024-04-24,1056495.3358267343
2024-04-25,1062012.101909074
2024-04-26,1076864.869640477
2024-04-29,1083540.4256565983
2024-04-30,1087032.6150021816
2024-05-02,1093804.4110893374
