ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
ALUA,2024-01-02,0.937698105742389,2024-03-14,0.7721761242727264,LONG,18563,-3072.5845420213464,95.73569465292782,78.83647967181041,-3247.156716346085
TXAR,2024-01-02,0.8375587125309052,2024-03-14,0.6916089471405859,LONG,21233,-3098.9513685326506,97.8113627874279,80.76713026049832,-3277.5298615805764
PAMP,2024-01-02,1.9879533048127533,2024-06-04,1.8399402887839025,LONG,11427,-1691.3447341616788,124.93988327752432,115.63748723963509,-1931.9221046788382
EDN,2024-01-02,0.9652845428523782,2024-07-03,0.762336090352383,LONG,16852,-3420.0873215299184,89.46836313881552,70.65788287040097,-3580.213567539135
METR,2024-01-02,0.7890330127349587,2024-07-31,0.6584942016000302,LONG,19764,-2579.9690632707266,85.76946655031549,71.57963670232648,-2737.3181665233683
CRES,2024-01-02,0.7944615304798296,2024-08-06,0.6403630607562931,LONG,23196,-3574.468103707152,101.35581313555569,81.69623856516635,-3757.520155407874
LOMA,2024-01-29,1.4744568331733416,2024-08-26,1.4000029326191474,LONG,18849,-1403.3815715460066,152.85620266666373,145.1376040231607,-1701.375378235831
CEPU,2024-01-02,0.922943538965762,2024-08-30,0.9071490219437705,LONG,16603,-262.23636611612534,84.279973675967,82.83767366232831,-429.3540134544207
BYMA,2024-01-02,0.08229371712804864,2024-10-01,0.11931963348838327,LONG,244179,9040.95123095015,110.51918655035384,160.24441832057965,8770.187626079218
COME,2024-02-08,0.04086988546543861,2025-03-10,0.06231921978674251,LONG,788091,16904.027334610706,177.1505389848864,270.1226893252453,16456.754106300574
ALUA,2024-12-20,0.8002156521658774,2025-03-31,0.6561401254067969,LONG,52502,-7564.253305905246,231.07107193507093,189.46767875259204,-7984.792056592909
TXAR,2025-01-02,0.7504089369274987,2025-04-04,0.5304265563052908,LONG,50357,-11077.652740992522,207.83588560271926,146.9087955272604,-11432.397422122502
TGNO4,2024-01-15,1.5268048185569323,2025-04-30,2.264218173352477,LONG,13312,9816.44657903829,111.78654159546434,165.77699778017492,9538.88303966265
VALO,2024-02-02,0.21129485209323437,2025-05-06,0.22453532081166402,LONG,172771,2287.5690209518098,200.78092590050107,213.362555515736,1873.4255395355726
TRAN,2024-01-02,1.0978562088881196,2025-05-14,1.84593478534505,LONG,20480,15320.649245837936,123.66252336915778,207.92609422126645,14989.060628247513
CEPU,2024-11-11,1.159861100631622,2025-05-14,1.2964227728291713,LONG,48210,6583.638216643853,307.5429701379777,343.7529803295189,5932.342266176356
EDN,2024-09-30,1.1373739315218314,2025-05-21,1.8765570812800108,LONG,29886,22091.22761367295,186.95356524603798,308.4553171212392,21595.818731305673
PAMP,2024-08-15,2.0993811263052975,2025-05-27,3.2479113405499045,LONG,18939,21752.01372757861,218.68098533102815,338.3170608327105,21195.015681414872
METR,2024-10-03,0.8913018686981785,2025-05-27,1.9928437729222652,LONG,42948,47309.02170261608,210.5379796126715,470.73759897706,46627.74612402635
YPFD,2024-01-08,16.1195910650901,2025-05-28,35.995341442035276,LONG,1357,26971.393261514604,120.30856791429996,268.65123085263025,26582.433462747675
BMA,2024-02-07,2.7102524184172223,2025-05-29,8.052586889498079,LONG,9234,49331.11650596063,137.64558957415548,408.9667303569389,48784.50418602954
CRES,2024-11-14,1.0160179224539698,2025-05-30,1.1430510068413158,LONG,51112,6492.915009206026,285.6188942885702,321.3299268392033,5885.966188078253
GGAL,2024-02-14,1.7430157439366099,2025-06-04,5.301919529173109,LONG,16000,56942.460563783985,153.38538546642167,466.56891856723354,56322.506259750335
TGSU2,2024-01-19,2.6885983804128477,2025-06-06,5.412495901088513,LONG,8197,22327.787976978427,121.21142508334262,244.01425895672395,21962.56229293836
BYMA,2024-11-28,0.15738983822964656,2025-06-12,0.16809335779992401,LONG,296778,3176.5691310278035,256.90412775564926,274.3752579763022,2645.289745295852
LOMA,2024-10-01,1.628017644569495,2025-06-23,2.2519402303589318,LONG,26255,16381.087489901664,235.08981791994646,325.1857991144056,15820.81187286731
SUPV,2024-01-25,0.8487723485150258,2025-06-25,2.207082983795219,LONG,29858,40556.438948196,139.38454630078903,362.444960515867,40054.60944137935
BBAR,2024-02-21,1.6400091020327625,2025-07-01,5.282965552770968,LONG,13318,48516.89401093141,120.12902671479782,386.9719437749206,48009.79304044169
LOMA,2025-08-08,2.4059040223850388,2025-09-01,1.815683645145397,LONG,23261,-13729.116194971306,307.8005340558411,232.29039498349894,-14269.207124010645
TGSU2,2025-08-08,5.849354154423625,2025-09-08,4.3221869188186215,LONG,8969,-13697.162936141276,288.5457157606402,213.21131961186316,-14198.919971513778
LOMA,2025-09-01,1.887935616726835,2025-09-12,1.5603549667127437,LONG,20347,-6665.283485836718,211.276042964475,174.61698379237305,-7051.176512593565
TRAN,2025-08-26,1.639453632933029,2025-09-17,1.2166489494181372,LONG,22538,-9529.17195705863,203.2250328847453,150.81458712092285,-9883.2115770643
TGSU2,2025-09-08,4.654665670315847,2025-10-01,4.0632390828816085,LONG,7555,-4468.227868065671,193.4129952657992,168.83774199143804,-4830.478605322908
ALUA,2025-12-19,0.7114766841541984,2026-03-03,0.5068864249056286,LONG,64704,-13237.808134419458,253.19463054332286,180.38668580401585,-13671.389450766797
COME,2026-01-30,0.04101802995996798,2026-03-03,0.026488406685131693,LONG,943458,-13708.08931563049,212.84333680484306,137.44884556887536,-14058.381498004208
COME,2026-03-03,0.02780904177043411,2026-04-29,0.03139235766635371,LONG,815899,2923.623856164908,124.7915315430048,140.8714627519118,2657.9608618699917
TXAR,2026-01-21,0.4918544852969346,2026-05-12,0.4398315815134057,LONG,98510,-5124.776251715433,266.48921940630566,238.30295002187077,-5629.56842114361
METR,2026-01-23,1.5651022885178458,2026-05-13,1.2007457890175735,LONG,24275,-8844.754025369111,208.9607192957389,160.31457215620875,-9214.02931682106
SUPV,2026-01-21,2.142317110895894,2026-05-18,1.5075894716152047,LONG,19580,-12427.967177115897,230.7061296723788,162.35231019824138,-12821.025616986517
EDN,2026-01-15,1.323317031845099,2026-05-21,1.2185819257903723,LONG,30261,-3169.3890443220876,220.24693185365496,202.8152921098835,-3592.451268285626
GGAL,2026-01-21,5.000684644201118,2026-05-21,4.211126187622822,LONG,10997,-8682.774346991517,302.4589096775383,254.70365076908496,-9239.93690743814
ALUA,2026-03-03,0.506536245182525,2026-05-25,0.6331785326720577,LONG,55912,7080.82357811475,155.76799997354937,194.7125296531805,6730.34304848802
LOMA,2026-01-21,2.3216738922732247,2026-05-26,2.2296247166513607,LONG,18213,-1676.4916356010087,232.56555629984732,223.34485230404178,-2132.4020442048977
BMA,2026-01-08,8.992018175615,2026-05-28,8.516536231453198,LONG,5020,-2386.9193596922432,248.26962182873012,235.1415653504228,-2870.330546871396
