ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
PAMP,2017-06-12,2.6108171152484494,2017-07-18,2.11740214337411,LONG,20085,-9910.239710096104,288.41043967870803,233.9041212731795,-10432.554271047991
YPFD,2017-06-12,23.646846578352587,2017-08-08,19.16349946433392,LONG,1557,-6980.571456527064,202.49977067372237,164.10662766282354,-7347.177854863609
ALUA,2017-06-12,0.5509245776501202,2017-08-30,0.5202731150915415,LONG,85603,-2623.857149402008,259.3843814132078,244.95316709149674,-3128.1946979067125
YPFD,2017-08-08,19.282088054505568,2017-09-25,20.485305511668688,LONG,1896,2281.300298781276,201.07361423238405,213.62076587568106,1866.605918673211
YPFD,2017-10-26,24.73314666260912,2017-12-18,21.143996224863265,LONG,1346,-4830.99648920592,183.09948474329528,156.52900405266274,-5170.624978001877
COME,2017-06-12,0.033656844522735055,2018-04-26,0.03435793376407653,LONG,1226702,860.027574532072,227.07805169350473,231.8082033534311,401.1413194851361
PAMP,2017-07-18,2.095337532750468,2018-04-27,2.2368604039036653,LONG,17824,2522.5036554345884,205.4101290105939,219.2838991154841,2097.8096273085102
YPFD,2017-12-18,21.08345580576881,2018-05-03,19.508423717315594,LONG,1555,-2449.1748975447517,180.31625577883773,166.8457938423416,-2796.336947165931
VALO,2017-12-28,0.2942729529918319,2018-05-03,0.2400102014804075,LONG,100241,-5439.352474256696,162.24018294469823,132.3237443362864,-5733.916401537681
BBAR,2017-10-20,5.20574971086674,2018-05-07,4.41691319265723,LONG,7114,-5611.782990542453,203.68536893708293,172.82056248909942,-5988.288921968636
TXAR,2017-06-12,0.5466002865840535,2018-05-10,0.49880104442276774,LONG,74893,-3579.828643185172,225.1509439472673,205.46188640974887,-4010.4414735421883
BMA,2017-06-12,6.566072489386575,2018-05-16,5.802707653218978,LONG,6984,-5331.340015794495,252.21597646231712,222.89360637544738,-5806.44959863226
CEPU,2017-06-09,1.339694491544003,2018-05-29,1.2728591889606808,LONG,34234,-2288.0397486374504,252.24705672934567,239.6628381118397,-2779.949643478636
BBAR,2018-05-07,4.72852947226307,2018-05-29,3.5440280366996255,LONG,8467,-10029.173654915689,220.2005247290828,165.0400696270465,-10414.414249271818
TGSU2,2017-06-12,2.559521372165448,2018-05-31,2.7410974664850936,LONG,18745,3403.643888021757,263.8802546668272,282.6002960509469,2857.163337303983
CRES,2017-06-12,1.244819407212974,2018-06-01,1.122699814635028,LONG,40264,-4917.023275558414,275.66774736612746,248.62411935055619,-5441.315142275098
TGNO4,2017-06-12,1.5132693465273868,2018-06-01,1.694996470709854,LONG,26197,4760.705472208092,218.03714389037873,244.2210239875232,4298.4473043301905
ALUA,2017-09-27,0.5510022528483772,2018-06-01,0.5475039257535559,LONG,74728,-261.42298714180913,226.46412992969442,225.02630350041449,-712.9134205719181
BBAR,2018-05-29,3.7479467463911895,2018-06-06,4.1258431620445615,LONG,5175,1955.6139510061998,106.67593426915923,117.43181099969334,1731.5062057373473
SUPV,2017-06-09,3.0911107939379963,2018-06-15,2.4901497322729718,LONG,16615,-9984.968039564383,282.4734321270389,227.55610790943481,-10494.997579600857
SUPV,2018-06-15,2.5376839185479567,2018-06-18,2.481667586745433,LONG,8399,-470.48117080939693,117.22703977536356,114.6393933359119,-702.3476039206724
METR,2017-06-12,1.5103366711636734,2018-06-22,1.6023096473245175,LONG,22220,2043.6395302939559,184.57824458291253,195.81826199952928,1663.243023711514
GGAL,2017-06-12,3.163657758812949,2018-06-26,2.8109975863417835,LONG,15030,-5300.482392241618,261.5237686322724,232.3711154749435,-5794.377276348834
VALO,2018-05-03,0.24359291142679065,2018-06-27,0.19602078583801738,LONG,120869,-5749.995247789437,161.93557386184617,130.31059999900427,-6042.241421650287
TRAN,2017-06-12,1.2265982628059418,2018-06-28,1.1223702789587378,LONG,33375,-3478.6089609004334,225.15744361631565,206.0250943313633,-3909.791498848112
EDN,2017-06-12,1.613607580967277,2018-07-16,1.67830224952247,LONG,27050,1749.990784417971,240.06446785840663,249.68941717270545,1260.236899386859
ALUA,2018-07-12,0.6950820985696216,2018-07-23,0.6286984541594766,LONG,35723,-2371.4229292636096,136.56729793961424,123.52447182866439,-2631.514699031888
BYMA,2018-07-05,0.119527469385139,2018-07-30,0.1269001042736292,LONG,177339,1307.4556984899614,116.5828504131014,123.7738567547962,1067.0989913220637
ALUA,2018-08-03,0.6500079450532392,2018-08-17,0.5898044670428284,LONG,45062,-2712.889126105132,161.09861910993985,146.17772891636164,-3020.1654741314337
VALO,2019-07-10,0.18873158021992947,2019-07-23,0.1484434097353472,LONG,229128,-9231.147926791367,237.840292319476,187.0689787221235,-9656.057197832966
LOMA,2019-04-05,1.8308181850827872,2019-08-12,1.2214746856138885,LONG,15014,-9148.683301026045,151.1834732695813,100.86571511393807,-9400.732489409564
BMA,2019-06-24,5.280365252290183,2019-08-12,3.861543006723418,LONG,6460,-9165.591706361303,187.6113774138702,137.20062302888303,-9490.403706804056
YPFD,2019-06-25,18.381118089418624,2019-08-12,15.24162568145231,LONG,2921,-9170.457323669603,295.3018526655549,244.8643373853721,-9710.62351372053
TGNO4,2019-07-15,1.3474071546667319,2019-08-12,1.0314484939902893,LONG,28913,-9135.312756137986,214.26670684583567,164.02248668707676,-9513.6019496709
GGAL,2019-07-17,2.7486397730268313,2019-08-12,2.172214425740898,LONG,15830,-9124.813247536324,239.31032183858105,189.12384897713127,-9553.247418352035
VALO,2019-07-23,0.14928647746465784,2019-08-12,0.1070791294348406,LONG,212563,-8971.720519262042,174.53029830126036,125.18583544531913,-9271.436653008623
TGSU2,2019-07-29,2.8927496071284233,2019-08-12,2.273920626062907,LONG,14798,-9157.431261807515,235.43799777457522,185.0721258346339,-9577.941385416725
BMA,2019-08-12,3.954306288638733,2019-08-23,2.46510567704168,LONG,5631,-8385.688643903004,122.46684291228587,76.34555537081934,-8584.50104218611
TGNO4,2019-08-12,0.8467923481052158,2019-08-27,0.4674788391256001,LONG,21739,-8245.896371707864,101.24630370502605,55.89387366063281,-8403.036549073522
LOMA,2019-08-12,1.266241831123817,2019-08-30,0.8043454732683442,LONG,14338,-6622.66997893177,99.85456456059309,63.42987967646835,-6785.954423168831
GGAL,2019-08-12,1.4417757791273487,2019-09-03,0.7394299841909575,LONG,11836,-8312.964828867125,93.85671966963214,48.13541311086295,-8454.95696164762
