entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-08-22,67.21338195938326,2017-09-19,79.28466154399672,SHORT,148,1786.5493785227927
2017-09-19,79.28466154399672,2018-08-13,73.91688195360875,LONG,126,-676.340228388884
2018-08-13,78.27483051248996,2018-10-19,90.30322704623198,LONG,127,1527.6063597852371
2018-10-19,90.30322704623198,2019-03-11,108.29162552493432,SHORT,110,1978.723832657257
2019-03-11,108.29162552493432,2019-08-12,77.03946451390229,LONG,92,-2875.1988130149466
2019-08-12,96.95913071237653,2019-08-27,64.85075252312939,LONG,103,-3307.1629534924564
2019-08-27,64.142196251913,2019-09-25,66.75264523067283,LONG,155,404.6195917077721
2019-09-25,66.75264523067283,2019-12-26,101.13211301281812,SHORT,149,-5122.54069953965
2019-12-26,100.91208503301168,2020-06-08,130.36902802712333,SHORT,99,-2916.237356417054
2020-06-08,121.94475600722973,2020-06-30,105.87193232852287,SHORT,82,-1317.971541653962
2020-06-30,105.87193232852287,2025-11-03,8222.029845505618,LONG,94,762918.8438386469
2025-11-03,8222.029845505618,2026-04-01,8130.0,SHORT,1,-92.02984550561814
2026-04-01,8130.0,2026-06-03,9030.0,LONG,1,900.0
