entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-05-26,100.14148845539226,2018-07-27,147.69477094774473,LONG,99,4707.774966742894
2018-07-27,147.69477094774473,2019-02-27,152.7750917639491,SHORT,67,340.38149468569236
2019-02-27,152.7750917639491,2019-08-29,110.5499640724193,LONG,65,-2744.6332999494366
2019-08-29,117.18212528642805,2019-11-14,143.3928943586153,LONG,85,2227.915371135917
2019-11-14,143.3928943586153,2019-12-23,199.04483301053082,SHORT,69,-3839.9837669821704
2019-12-23,190.06642628612056,2020-02-05,210.79749570722936,SHORT,52,1078.0156098976577
2020-02-05,210.79749570722936,2020-03-12,145.05213000427582,LONG,47,-3090.032188038816
2020-03-12,151.36337598164877,2020-05-13,184.31848058473003,LONG,66,2175.0369038033627
2020-05-13,184.31848058473003,2020-07-31,206.31412522793815,SHORT,54,1187.7648107332386
2020-07-31,206.31412522793815,2020-10-29,140.66071440433265,LONG,48,-3151.363719533064
2020-10-29,145.65377974662516,2020-12-04,188.91684886529268,LONG,68,2941.8887000693912
2020-12-04,188.91684886529268,2021-02-17,172.89919324801875,SHORT,52,-832.9180920982444
2021-02-17,172.89919324801875,2021-03-23,166.26982853691203,LONG,57,-377.8737885330829
2021-03-23,166.26982853691203,2021-06-03,216.87502760446694,SHORT,60,-3036.3119440532946
2021-06-03,213.82471323551871,2021-06-30,197.6921299170232,SHORT,46,-742.0988326507933
2021-06-30,197.6921299170232,2025-07-30,8989.864948248407,LONG,50,439608.6409165692
2025-07-30,8989.864948248407,2025-10-27,10885.945109350974,SHORT,1,-1896.0801611025672
2026-03-16,9677.438612674061,2026-06-03,13050.0,LONG,1,3372.561387325939
