entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2016-08-31,0.08327548954646026,2017-05-05,1.4021918649106815,LONG,120083,158379.43510286178
2017-09-11,1.3617687857107081,2017-12-27,1.650434583108143,LONG,7343,2119.6729502893645
2018-01-08,1.943014538194399,2018-02-09,1.5098056809995861,LONG,5146,-2229.2927791245074
2018-02-09,1.5771601662008887,2018-03-05,1.612859737173971,LONG,6340,226.33527996934174
2019-01-31,1.0052951392121732,2019-03-26,0.9235321516641251,LONG,9947,-813.2964371404346
2019-07-02,0.9026238010768495,2019-08-12,0.6892810586413395,LONG,11078,-2363.4109007005795
2019-08-12,0.5497332020586753,2019-08-14,0.32616930031654423,LONG,18190,-4066.6273726893637
2019-08-14,0.351457762408994,2019-08-16,0.4138077652666613,LONG,28452,1773.9822813063497
2019-11-15,0.3171860634056259,2020-02-11,0.37346216731731613,LONG,31527,1774.2167280238584
2020-06-02,0.28955932227203063,2020-07-22,0.2765509624263527,LONG,34535,-449.24370727048773
2020-08-14,0.2742993380713747,2020-09-01,0.2528892683974336,LONG,36456,-780.5255000331967
2020-11-11,0.25881462921499454,2021-01-26,0.23073845081553024,LONG,38637,-1084.7793048201022
2021-06-08,0.28183632788002394,2021-08-10,0.24600915253080932,LONG,35481,-1271.184008565484
2021-09-01,0.3022636757257395,2021-12-15,0.3357872116377481,LONG,33083,1109.0591385769815
2022-02-16,0.34981698217975105,2022-05-17,0.3738521440266882,LONG,28586,687.0691365565456
2022-08-16,0.4071971968493694,2023-03-13,0.5417025273141836,LONG,24558,3303.1819055549063
2023-05-08,0.6145956590044684,2023-08-04,0.6182145858554626,LONG,16270,58.87993986567541
2023-09-07,0.7108980991185102,2023-09-26,0.5840835267368599,LONG,14066,-1783.7737751202928
2023-11-23,0.7828332220404062,2024-02-26,0.8817721184048972,LONG,12774,1263.8454621600085
2024-04-12,1.087999888183319,2024-06-14,0.9851589419791904,LONG,9191,-945.2111365621464
2024-09-05,0.9631673744906158,2025-02-12,1.2695306453932742,LONG,10382,3180.6634785113993
2025-05-26,1.3605819957324017,2025-07-14,1.0726943005704714,LONG,7349,-2115.6866717450253
2025-11-04,1.6028942192167464,2026-02-11,1.6109323678159657,LONG,6238,50.14197096193039
