entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-06-26,25.5,2018-09-13,43.849998474121094,LONG,392,7193.199401855469
2018-09-13,43.849998474121094,2019-02-20,52.70000076293945,SHORT,228,2017.800521850586
2019-02-20,52.70000076293945,2019-03-27,41.13499870300293,LONG,189,-2185.785389328003
2019-03-27,43.79999923706055,2019-04-23,37.79999923706055,LONG,228,-1368.0
2019-04-23,37.79999923706055,2020-08-10,27.299999237060547,SHORT,264,-2772.0
2020-08-10,27.299999237060547,2020-09-17,18.899998664855957,LONG,366,-3074.40020942688
2020-09-17,19.0,2025-08-04,1950.0,LONG,526,1015706.0
2025-08-04,1950.0,2025-10-31,2502.0,SHORT,5,-2760.0
2025-10-31,2205.0,2025-12-23,2474.0,SHORT,4,1076.0
2025-12-23,2474.0,2026-06-03,2027.0,LONG,4,-1788.0
