entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-06-26,38.75,2018-08-08,41.900001525878906,LONG,258,812.7003936767578
2018-08-08,41.900001525878906,2018-09-19,51.4250072479248,SHORT,238,-2266.9513618469236
2018-09-19,49.5,2018-12-03,54.04999923706055,SHORT,202,919.0998458862305
2018-12-03,54.04999923706055,2019-04-24,38.224999237060544,LONG,185,-2927.6250000000005
2019-04-24,39.25,2019-05-16,42.0,LONG,254,698.5
2019-05-16,42.0,2019-06-12,54.48000297546387,SHORT,238,-2970.2407081604006
2019-06-12,54.75,2019-07-18,59.0,SHORT,182,773.5
2019-07-18,59.0,2019-08-12,45.82999954223633,LONG,169,-2225.7300773620605
2019-08-12,39.0,2019-09-25,40.20000076293945,LONG,256,307.2001953125
2019-09-25,40.20000076293945,2020-06-29,45.70000076293945,SHORT,248,1364.0
2020-06-29,45.70000076293945,2026-06-03,5115.0,LONG,218,1105107.3998336792
