entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2016-11-24,36.80597686767578,2017-02-08,35.73794293953144,LONG,271,-289.4371945271156
2017-02-08,35.73794293953144,2017-03-15,39.64036175656085,SHORT,279,1088.7748499512045
2017-03-15,39.64036175656085,2018-05-30,70.89883913712252,LONG,252,7877.136299901541
2018-05-30,70.89883913712252,2019-01-09,54.94869181068692,SHORT,141,-2248.9707730274204
2019-01-09,54.94869181068692,2019-04-24,38.94008066528592,LONG,181,-2897.5586173175807
2019-04-24,39.24906343794138,2019-04-29,38.37222251705239,LONG,254,-222.71759390580291
2019-04-29,38.37222251705239,2019-06-11,53.31609115679563,SHORT,260,-3885.4058463332412
2019-06-11,49.10603649432842,2019-08-07,55.03262545413898,SHORT,203,1203.0975588415433
2019-08-07,55.03262545413898,2019-08-12,38.662534631192294,LONG,181,-2962.98643895335
2019-08-12,40.6394777879001,2019-09-03,23.72329402682731,LONG,246,-4161.381205223905
2019-09-03,27.346979079308326,2019-09-24,32.59624876167237,LONG,365,1915.983434062876
2019-09-24,32.59624876167237,2019-12-26,48.54724748861424,SHORT,306,-4881.005610444212
2019-12-26,45.76174153274945,2020-01-15,46.9470633577041,SHORT,218,258.40015784011496
2020-01-15,46.9470633577041,2020-03-12,27.338516183547625,LONG,213,-4176.6205480953295
2020-03-12,28.278301605446035,2020-04-08,25.188008920688453,LONG,353,-1090.8733177194265
2020-04-08,25.188008920688453,2020-05-11,42.16769247624357,SHORT,397,-6740.934371555382
2020-05-11,36.32153131271518,2020-06-02,51.77723112493656,SHORT,275,-4250.31744836088
2020-06-02,48.160297698350405,2020-06-30,46.12860747293401,SHORT,207,-420.5598766611943
2020-06-30,46.12860747293401,2020-11-06,53.56275023294394,LONG,216,1605.7748361621457
2020-11-06,53.56275023294394,2021-02-09,54.76329040527344,SHORT,186,223.30047205328637
2021-02-09,54.76329040527344,2021-03-31,47.1906245876425,LONG,182,-1378.2251788088302
2021-03-31,47.1906245876425,2021-06-01,61.45862849556983,SHORT,211,-3010.5488245726665
2021-06-01,59.97292217099341,2021-06-07,73.67259228596521,SHORT,166,-2274.145239085319
2021-06-07,71.84549218993162,2021-06-16,73.95720947130211,SHORT,139,293.5287021104979
2021-06-16,73.95720947130211,2022-01-31,78.79071172575357,LONG,135,652.5228043509471
2022-01-31,78.79071172575357,2022-07-25,99.35888912461996,SHORT,126,-2591.590352257166
2022-07-25,97.10376094999911,2022-08-02,91.89331345218234,SHORT,102,-531.4656447773109
2022-08-02,91.89331345218234,2025-05-20,3800.0,LONG,108,400475.52214716433
2025-05-20,3800.0,2025-12-09,3260.0,SHORT,2,-1080.0
2025-12-09,3260.0,2026-04-07,2757.5,LONG,3,-1507.5
2026-04-07,2757.5,2026-06-03,2902.5,SHORT,3,-435.0
