entry_date,entry_price,exit_date,exit_price,side,shares,pnl
2017-04-26,0.7098860740661621,2017-05-31,3.237117290496826,LONG,14086,35598.578914642334
2017-05-31,3.237117290496826,2017-06-08,3.5474065840244293,SHORT,3089,-958.4836277067661
2017-06-08,3.55293345451355,2017-11-24,4.327682679891586,SHORT,2814,-2180.144320213794
2017-11-24,4.296332710451308,2017-12-15,4.533372351792401,SHORT,2327,551.5912454007242
2017-12-15,4.533372351792401,2018-08-22,4.069929704802323,LONG,2205,-1021.8910366131222
2018-08-22,4.069929704802323,2019-02-18,5.3473700728727644,SHORT,2457,-3138.670984349074
2019-02-18,5.238368206963987,2019-03-20,5.332469700671536,SHORT,1908,179.54564999400318
2019-03-20,5.332469700671536,2021-05-10,21.174835933396885,LONG,1875,29704.436686360033
2021-05-10,21.174835933396885,2021-06-07,24.94456685366851,SHORT,472,-1779.3129943682063
2021-06-07,23.696682230276654,2022-02-04,25.479368522688272,SHORT,422,752.293615397703
2022-02-04,25.479368522688272,2025-06-10,361.37150633609343,LONG,392,131669.71802285482
2025-06-10,361.37150633609343,2025-11-25,467.26178761454605,SHORT,27,-2859.037594518221
2025-11-25,459.7897397897539,2025-12-01,529.7415570143144,SHORT,21,1468.9881617157694
2025-12-01,529.7415570143144,2026-06-03,657.0,LONG,18,2290.6519737423414
