ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl
COME,2016-09-02,0.032011453954851596,2016-09-05,0.03148664338604151,LONG,2112426,-1108.6234906292082
BBAR,2016-09-05,4.6936087370702415,2016-09-13,4.591458753212889,LONG,13288,-1357.3689854965032
GGAL,2016-09-06,2.249668286624087,2016-09-14,2.139513273778854,LONG,24890,-2741.758269717852
COME,2016-09-07,0.03255146689587826,2016-09-14,0.03005997937422781,LONG,1548220,-3857.370810769664
BMA,2016-09-01,5.731907886972266,2016-09-21,5.2988639266147715,LONG,13779,-5966.912729765916
YPFD,2016-10-07,19.2919764091024,2016-11-04,16.536349723226284,LONG,1556,-4287.755123223237
CRES,2016-09-01,1.1395130776626519,2016-11-08,1.115337488341585,LONG,46438,-1122.6660168917044
BMA,2016-10-05,5.711650773498718,2016-11-08,5.584094660050228,LONG,6491,-827.9667323941482
BBAR,2016-10-13,4.712866110294152,2016-11-08,4.621557942127419,LONG,5735,-523.652344436212
YPFD,2016-11-04,16.61422954383696,2016-11-08,17.112759079461703,LONG,1472,733.8354764396233
ALUA,2016-10-03,0.5498899159501199,2016-11-09,0.4606837460550544,LONG,74916,-6682.969423858729
GGAL,2016-10-05,2.370098558628118,2016-11-11,2.024599580543436,LONG,14079,-4864.280112454241
ALUA,2016-11-09,0.45758474226491597,2016-11-11,0.4733978718700539,LONG,86206,1363.1866507405196
COME,2016-10-13,0.03378557828494026,2016-11-14,0.02817477199128158,LONG,720050,-4040.0610717489353
COME,2016-11-14,0.02971315806352006,2016-11-16,0.029326436370850712,LONG,1309265,-506.3211769527346
SUPV,2016-08-31,2.2813368099382445,2016-11-18,2.3981376544212663,LONG,30409,3551.7968798842085
TXAR,2016-09-05,0.4225294486738229,2016-11-18,0.43253703896026807,LONG,147251,1473.6276772693357
VALO,2016-09-13,0.21868799627302646,2016-11-30,0.3106260492607379,LONG,211774,19470.0892334196
PAMP,2016-09-16,1.1753118741172441,2016-12-30,1.4156788477029205,LONG,35603,8557.785360570837
ALUA,2017-01-18,0.4942302900595568,2017-01-19,0.502680026347142,LONG,62558,528.5986026787562
BBAR,2017-01-17,4.266714890201458,2017-03-08,4.088125851086484,LONG,8051,-1437.820353914656
VALO,2016-12-01,0.3200304496613035,2017-03-30,0.2862302967738097,LONG,202016,-6828.1716857199535
VALO,2017-03-30,0.04692662313571721,2017-03-31,0.0465745470289462,LONG,674494,-237.4732215604046
CEPU,2016-08-31,0.08327552246909753,2017-05-03,1.4080329391139075,LONG,815659,1080550.309703089
BBAR,2017-04-05,4.456324129855388,2017-05-04,4.37478936341245,LONG,7097,-578.652237445531
EDN,2016-09-02,0.9040772879281579,2017-05-15,1.7128130371472323,LONG,49938,40386.64584450214
ALUA,2017-01-23,0.5167931114963308,2017-05-23,0.5146678505073738,LONG,53936,-114.6280767003812
METR,2016-09-19,0.538845985786607,2017-05-26,1.4684942237318321,LONG,69891,64974.04499822973
CRES,2017-01-12,1.1072237106915988,2017-06-06,1.2763949295455483,LONG,42559,7199.757903205241
COME,2017-02-13,0.03046916023158318,2017-06-06,0.034259951432606475,LONG,823349,3121.1441445713303
YPFD,2017-01-11,21.087980800251053,2017-06-13,23.411704277391568,LONG,2482,5767.481670262758
TXAR,2017-01-10,0.5053328845684987,2017-06-14,0.547462748073114,LONG,115121,4850.032016514822
ALUA,2017-06-13,0.5451589147294058,2017-06-16,0.52394966466417,LONG,216562,-4593.11761262759
METR,2017-06-08,1.5840189922368408,2017-06-19,1.4668336187105322,LONG,58254,-6826.516749401584
SUPV,2017-01-19,2.4417804146214266,2017-06-28,2.9893191963934767,LONG,12683,6944.434369214911
GGAL,2017-01-13,2.310500756530008,2017-07-03,3.1894788118892956,LONG,18355,16133.64220611972
PAMP,2017-01-04,1.4696877719954822,2017-07-06,2.4035183319465983,LONG,34373,32098.557837199714
BBAR,2017-05-31,4.696017309015671,2017-07-14,4.356165781798895,LONG,33241,-11297.004616212864
GGAL,2017-07-04,3.277015689124577,2017-07-18,2.9218660090366764,LONG,39669,-14088.432659406928
TRAN,2016-09-15,0.33501486618724596,2017-07-21,1.0920568498573153,LONG,138783,105064.55761968324
BMA,2017-01-16,5.2654572371293185,2017-07-25,6.320187963508637,LONG,7249,7645.743035523681
TGSU2,2016-09-15,1.0627610262008649,2017-07-26,2.4209820215204054,LONG,48609,66021.76436148754
TGNO4,2016-09-13,0.3818755665942395,2017-08-09,1.4274106300871674,LONG,134751,140886.89534073553
VALO,2017-06-07,0.21707415436477706,2017-08-10,0.16420744071705215,LONG,499094,-26385.45958129762
VALO,2017-08-10,0.16883564187062527,2017-08-11,0.1699436993263936,LONG,996844,1104.5604264379306
CRES,2017-08-29,1.2164907576338848,2017-10-03,1.2396475755796739,LONG,92121,2133.2292259840333
BMA,2017-08-18,6.6781670701409706,2017-11-21,7.295321569954169,LONG,21295,13142.305073522055
PAMP,2017-08-25,2.5589922641268403,2017-11-29,2.6284128493755334,LONG,52691,3657.840057338888
YPFD,2017-09-29,22.377229417306726,2017-12-13,22.18292789988032,LONG,2957,-574.5495870298852
TXAR,2017-08-24,0.5489750442500202,2017-12-14,0.6094421752846008,LONG,211401,12782.811967841366
