slow,fast_index,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_count
60,0.2,8710.21017940975,0.0008684582431317533,0.1591667573814733,-0.012503951034892798,44.44444444444444,2.058211895695683,1.6465695165565464,27
60,0.25,7617.233332769817,0.0007598532632764332,0.12611361722476877,-0.016981403906170745,42.857142857142854,1.9194345732672367,1.4395759299504276,28
60,0.3,6699.745388046338,0.0006686040739836141,0.1141316935233258,-0.015744442967975707,36.0,2.4512923113930167,1.3788519251585718,25
60,0.35,5697.888283512581,0.000568878393247152,0.10430629456889932,-0.014994163755616283,29.629629629629626,3.186501663465176,1.3416849109327056,27
60,0.4,2551.7904170939387,0.0002551310007237184,0.04563906664424971,-0.01768823091826713,33.33333333333333,2.2264566519150732,1.1132283259575366,27
60,0.45,5108.4030913451525,0.0005101587672553531,0.08659483274497554,-0.016858678873638986,44.0,1.5971100198882562,1.25487215848363,25
60,0.5,-193.4804358337244,-1.9368287789589544e-05,-9.977851546365878e-05,-0.018887907564639244,48.0,1.0736500119662822,0.9910615495073375,25
80,0.2,-2551.20328665885,-0.0002556586445394693,-0.03770392985662065,-0.023403522729728468,28.000000000000004,2.3037037282916315,0.8958847832245234,25
80,0.25,-4845.904028461834,-0.00048611608934390205,-0.07855947177494578,-0.02206946818497524,29.166666666666668,1.9172191631062958,0.7894431848084746,24
80,0.3,-4988.990686972722,-0.0005005021569824963,-0.0833229441083075,-0.02091157917802237,31.818181818181817,1.6735434560151163,0.7809869461403878,22
80,0.35,-4368.016009941397,-0.0004380822635785542,-0.07383435556985801,-0.02287780305225684,30.434782608695656,1.86971201906639,0.8179990083415456,23
80,0.4,-7907.692190712948,-0.0007943582047377218,-0.1416234613334078,-0.02521058132973042,23.809523809523807,2.235201255833192,0.6985003924478725,21
80,0.45,-6860.437966496479,-0.0006888308409088717,-0.12706622379184518,-0.024820869077220156,33.33333333333333,1.476181437886461,0.7380907189432306,21
80,0.5,-10951.816282330181,-0.0011016718612899545,-0.20425409998234856,-0.027784159677042796,28.57142857142857,1.5217370040926506,0.6086948016370602,21
100,0.2,-7819.928288015145,-0.0007855107612455559,-0.13267656016960563,-0.02785960477666815,28.000000000000004,1.8693673666014963,0.7269761981228042,25
100,0.25,-12881.030468446283,-0.0012968728953168807,-0.22252687224956166,-0.03201155009714705,22.727272727272727,2.0444191540816132,0.6012997512004744,22
100,0.3,-15392.157591059537,-0.0015514677345109806,-0.2877481503259602,-0.03181581181647248,30.434782608695656,1.2349329893001255,0.5402831828188049,23
100,0.35,-19083.03950425298,-0.0019267366085978788,-0.35201962220606303,-0.03517387323582063,29.166666666666668,1.1664306154992554,0.4802949593232228,24
100,0.4,-16562.21850127561,-0.0016702959444215848,-0.308709121089261,-0.03627102364843703,33.33333333333333,1.0849687895955966,0.5424843947977983,24
100,0.45,-18281.148391025363,-0.0018450967496432824,-0.34117580137942843,-0.03953492063261387,24.0,1.6215213691611048,0.5120593797350856,25
100,0.5,-19153.095073653825,-0.001933871759507877,-0.35972834030710465,-0.03722470349727555,30.76923076923077,1.1844901763821378,0.5264400783920613,26
120,0.2,-4877.276058488038,-0.0004892701035121849,-0.06243524094447339,-0.03277854619801692,17.647058823529413,3.91841557159212,0.839660479626883,17
120,0.25,-7025.437877874703,-0.0007054505339785244,-0.09095015871967006,-0.036024890943098305,20.0,3.166409223904763,0.7916023059761907,20
120,0.3,-9363.74405970502,-0.0009412450732024791,-0.13751443127914162,-0.036871137034800903,20.0,2.847544668351826,0.7118861670879565,20
120,0.35,-11229.535038044392,-0.001129750773902316,-0.15516652058007852,-0.038205694544997004,19.047619047619047,2.9380873705522292,0.6913146754240539,21
120,0.4,-11208.086030853192,-0.0011275819069572757,-0.1415083594352053,-0.033561781018683665,22.22222222222222,2.258318504302115,0.6452338583720327,18
120,0.45,-3641.1243063722977,-0.00036506016473847325,-0.04442236161192692,-0.02866176099878637,27.77777777777778,2.2761926613118058,0.8754587158891561,18
120,0.5,3485.2598425858905,0.000348314400720362,0.04608313697176995,-0.03449884149425049,30.0,2.5704576047811827,1.101624687763364,20
140,0.2,-5166.843881785909,-0.0005183862803809225,-0.06587430337180003,-0.03263618357543887,25.0,2.521865195095981,0.8406217316986604,20
140,0.25,-2882.0044416999253,-0.00028885164706449196,-0.03558019354635732,-0.030271511754160502,29.411764705882355,2.1375567366565256,0.8906486402735524,17
140,0.3,-2629.986552050311,-0.00026356295732477,-0.03070803733597592,-0.030151314344978395,27.77777777777778,2.3703122151757943,0.9116585442983824,18
140,0.35,2465.265367907613,0.0002464897013247924,0.03503032337372097,-0.027920181105301704,31.25,2.413896360150296,1.0972256182501345,16
140,0.4,12380.461996894812,0.0012323840444143919,0.14996731134031127,-0.026032253254702552,26.666666666666668,4.182729512753248,1.52099255009209,15
140,0.45,7505.142343022948,0.0007487092122342442,0.10640686454814578,-0.02140755645108868,28.57142857142857,3.362049382854189,1.3448197531416757,14
140,0.5,5516.29615212494,0.0005507929929240429,0.08127963810868821,-0.021557482000005443,28.57142857142857,3.1267255814010806,1.2506902325604323,14
160,0.2,-2106.9945726314163,-0.0002111017648953606,-0.023490232665185053,-0.024694305606439638,27.77777777777778,2.352745805833734,0.9049022330129747,18
160,0.25,9630.199435056471,0.0009597920468493726,0.12248810208370142,-0.025299352017755083,26.666666666666668,3.97919912064383,1.4469814984159381,15
160,0.3,13115.095144421928,0.0013050843533222167,0.172074887208838,-0.02067458028255973,38.46153846153847,2.7476169713583665,1.717260607098979,13
160,0.35,18763.866056685467,0.0018625150547595393,0.21773434810735637,-0.02300487647692875,45.45454545454545,2.753694049234492,2.2947450410287433,11
