slow,fast_index,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_count
60,0.2,3930.8880368083264,0.0003927716415930149,0.10203472890653541,-0.008592457520342722,48.148148148148145,1.4259307409606772,1.324078545177772,27
60,0.25,7629.662066606634,0.0007610888553872819,0.18109434996662674,-0.008908890687743887,48.0,1.8779250464139634,1.7334692736128894,25
60,0.3,676.0585439987865,6.765012349085886e-05,0.019641223663260897,-0.009132824091753939,43.47826086956522,1.367995425403833,1.0523041733875638,23
60,0.35,2321.6838680513592,0.00023214866488285857,0.06126448634224995,-0.010599256875092652,47.82608695652174,1.262204900192745,1.157021158510016,23
60,0.4,320.8051630367477,3.210665264830048e-05,0.010346613265875743,-0.01091437664735973,41.66666666666667,1.4271972792805394,1.0194266280575282,24
60,0.45,-3295.5465836078356,-0.0003303609244701411,-0.08573654143222229,-0.009728336035419604,34.78260869565217,1.494526720894259,0.7970809178102715,23
60,0.5,-3934.5243177340676,-0.00039452877610679504,-0.1030265795238591,-0.009975553836605281,40.909090909090914,1.05352898076638,0.7293662174536476,22
80,0.2,-5576.6809275649275,-0.0005596086210652995,-0.1386336956825816,-0.01168002232166984,23.809523809523807,2.1573166302723976,0.6741614469601243,21
80,0.25,-8227.257550719964,-0.0008265794118241798,-0.21066399079148349,-0.012775398018450209,31.818181818181817,1.2049301498113976,0.5623007365786522,22
80,0.3,-9864.615789507407,-0.000991818049624782,-0.2612771721835888,-0.014158487733818758,28.57142857142857,1.223784516053317,0.4895138064213268,21
80,0.35,-8622.308469036096,-0.0008664246100834605,-0.23370950908774504,-0.0131555049954892,23.809523809523807,1.6503054178737866,0.5157204430855583,21
80,0.4,-7444.5838227449,-0.0007476803826803602,-0.1992340070907071,-0.011878278909899037,28.57142857142857,1.432722177303425,0.57308887092137,21
80,0.45,-9494.551210563091,-0.0009544504398287801,-0.2517765937737711,-0.014251684667469882,23.809523809523807,1.6015952113277256,0.5004985035399142,21
80,0.5,-12416.886667355953,-0.001249878727582976,-0.3300445503658412,-0.013962569654125616,19.047619047619047,1.8254536572374829,0.4295185075852901,21
100,0.2,-6322.099427152815,-0.0006346237137775379,-0.1617355259531669,-0.010907228195471751,27.77777777777778,1.6075115709071424,0.6182736811181316,18
100,0.25,-11008.292965857594,-0.0011073813936949284,-0.28464516594560163,-0.014748622145889193,31.57894736842105,0.9866105052861937,0.45535869474747404,19
100,0.3,-9410.03226145683,-0.0009459178239197286,-0.24800435887078598,-0.013125655804448152,38.88888888888889,0.8099839786364466,0.515444350041375,18
100,0.35,-14090.25983318196,-0.0014193997990366025,-0.37026473231127893,-0.017002071979983737,26.31578947368421,1.1563479030046793,0.4129813939302426,19
100,0.4,-15245.978332722512,-0.0015366310966047347,-0.41850328456360825,-0.018232716982361383,25.0,1.059599940539474,0.3531999801798247,20
100,0.45,-13423.816540286174,-0.0013518547572581863,-0.36014320193873606,-0.01596867997845098,26.31578947368421,1.1009438460461725,0.39319423073077586,19
100,0.5,-18833.100386372123,-0.0019012840769591088,-0.5017420197631073,-0.020955135492289192,13.636363636363635,2.1051870156718753,0.3323979498429277,22
120,0.2,-12830.866078947833,-0.0012917928349398533,-0.3340172165370324,-0.015537885229603803,26.31578947368421,1.0456510135769905,0.37344679056321084,19
120,0.25,-15594.780198267561,-0.0015720364357445504,-0.41720158840935,-0.0187597002043719,21.052631578947366,1.2302801688314453,0.3280747116883854,19
120,0.3,-12387.127316319808,-0.0012468662965083865,-0.3315780729601117,-0.016007852795673135,27.77777777777778,1.0446017692513831,0.401769911250532,18
120,0.35,-11662.179297529443,-0.0011735076610527306,-0.33241557976388697,-0.0148185612614534,20.0,1.46233746838375,0.36558436709593756,15
120,0.4,-9566.505131804905,-0.0009617150688966403,-0.2740819018586454,-0.012592287324764247,25.0,1.3661777108971365,0.45539257029904545,16
120,0.45,-5988.6784502211585,-0.0006010636800418689,-0.15427061038181508,-0.01250693940645467,23.076923076923077,2.0043128584059398,0.6012938575217819,13
120,0.5,-5166.451984598828,-0.0005183468697862459,-0.13263140352693448,-0.011027811753060493,28.57142857142857,1.690537954077986,0.6762151816311944,14
140,0.2,-2629.795386782196,-0.00026354377706305776,-0.05914098054524842,-0.012003421501577459,42.857142857142854,1.0715545631942354,0.8036659223956766,14
140,0.25,-2486.811974208452,-0.0002491986913998323,-0.051915546195937363,-0.01323798699549297,27.27272727272727,2.1678235987604397,0.8129338495351649,11
140,0.3,700.064498978451,7.005153468364611e-05,0.017722230161525795,-0.011332727804465724,36.36363636363637,1.867370171297134,1.067068669312648,11
140,0.35,96.42762476531675,9.651592741022341e-06,0.004517037600592806,-0.014213610245205385,45.45454545454545,1.209843026599333,1.0082025221661108,11
140,0.4,4705.041099635454,0.0004699613299348204,0.09734020419538393,-0.01377059993095519,60.0,1.0612678672821894,1.5919018009232841,10
140,0.45,3310.0722794282956,0.00033083228473285153,0.06613460053921148,-0.014317692287042565,50.0,1.3987557082372046,1.3987557082372046,10
140,0.5,3340.963594727485,0.00033391515484670897,0.06609408803437354,-0.013468712685667563,60.0,0.9060847959506996,1.3591271939260492,10
160,0.2,652.7755968282822,6.532098812139786e-05,0.0164250574933643,-0.01201173661285456,27.27272727272727,2.8071326600003195,1.05267474750012,11
160,0.25,1120.4328169330706,0.00011209425019131913,0.026359889020188692,-0.011990898687846493,30.76923076923077,2.4577337354189273,1.0923261046306343,13
160,0.3,320.8127910846995,3.210741596459954e-05,0.009104762305253502,-0.01256834236309139,33.33333333333333,2.0561675543342797,1.02808377716714,9
160,0.35,4029.015144142897,0.0004025587181866186,0.08149778502540579,-0.013744889344295495,55.55555555555556,1.2296711106045695,1.5370888882557117,9
160,0.4,2209.0259719552005,0.00022089500861954825,0.045736875867480625,-0.014973245912595464,50.0,1.2818920748256113,1.2818920748256113,10
160,0.45,1149.6476073599174,0.00011501554769655087,0.026280108694653467,-0.011992945514527925,50.0,1.1698063358549726,1.1698063358549726,8
160,0.5,-4606.19536361738,-0.00046201972478499,-0.0941296679830738,-0.014213843877313843,30.0,1.2845411949591563,0.5505176549824955,10
180,0.2,-293.8222401898556,-2.9414295429019965e-05,-0.004025721923860697,-0.012337571683470282,30.0,2.2733061324829364,0.9742740567784014,10
180,0.25,233.05088161938465,2.332499583634906e-05,0.007439786840918035,-0.011736362582649384,40.0,1.5402202304485215,1.026813486965681,10
180,0.3,-1310.7743655057557,-0.00013128060772094052,-0.02310428258476938,-0.013576771618625288,33.33333333333333,1.7600111962428653,0.8800055981214326,9
180,0.35,433.03734239261325,4.3336826409001716e-05,0.010792032154358254,-0.014812712383582257,40.0,1.5587299535233112,1.0391533023488742,10
180,0.4,-2245.1437043709266,-0.00022495706404090932,-0.043302745416559166,-0.013094275797821731,22.22222222222222,2.6812810918920658,0.7660803119691616,9
180,0.45,-992.0288011198097,-9.934238330100431e-05,-0.017976790227884714,-0.012937357606580614,33.33333333333333,1.8035328489791573,0.9017664244895787,9
180,0.5,5342.488827768047,0.0005334801558412039,0.10920964458583864,-0.00918005984123665,60.0,1.0750759829489305,1.6126139744233956,10
200,0.2,3412.4737755690744,0.0003410513506916235,0.07582162859358796,-0.011247953089633743,33.33333333333333,2.98541306169953,1.492706530849765,9
200,0.25,2357.4078284996917,0.00023571697572744021,0.050478084692051395,-0.010982066331724908,50.0,1.2737378853407721,1.273737885340772,10
200,0.3,-138.3418601200089,-1.3848317346076833e-05,0.00016695705971897848,-0.014527607744777541,30.0,2.302644130963624,0.986847484698696,10
200,0.35,-78.48501453347023,-7.85630692157202e-06,0.0010285178318904485,-0.013054558218481768,40.0,1.4884456318742507,0.9922970879161672,10
200,0.4,735.21687383027,7.356787307144508e-05,0.017495530897090376,-0.0122658235626443,55.55555555555556,0.8747811680483033,1.093476460060379,9
200,0.45,4604.40230783385,0.00045992980810471984,0.09510761701204758,-0.010267593175801726,50.0,1.4365962720225183,1.4365962720225185,10
200,0.5,10488.105378791715,0.001044894944939312,0.2006409727174978,-0.010223559984181256,66.66666666666666,1.1147592502454027,2.2295185004908054,9
220,0.2,714.5607905469341,7.150163130331677e-05,0.017253276259588023,-0.010149274105041566,54.54545454545454,0.8942202504434238,1.0730643005321086,11
220,0.25,-3542.1681298422172,-0.00035512293124762007,-0.07242479534803424,-0.012308248699377602,40.0,1.0712809921456663,0.7141873280971107,10
220,0.3,1643.193094533015,0.00016435543815318532,0.035595961606968124,-0.0121135887844597,45.45454545454545,1.393515092599466,1.1612625771662217,11
220,0.35,-348.64782323262534,-3.4903699329236204e-05,-0.004533511691715822,-0.01218634890538835,37.5,1.5945422828707145,0.9567253697224287,8
220,0.4,6975.723177515319,0.0006960594403806475,0.1315118097753984,-0.010033059624331016,40.0,2.419936445919109,1.6132909639460729,10
