entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-12,6.566075152892009,2018-05-16,5.802708894284569,LONG,7614,-5812.270693037048,274.96752917765866,243.0000403659549,-6330.238262580661
2019-06-24,5.280365281192178,2019-08-12,3.8615439611709275,LONG,9409,-13349.689800079945,273.2562631190546,199.83296921861492,-13822.779032417613
2019-08-12,3.954305374156835,2019-08-23,2.4651055581775445,LONG,12389,-18449.696520167432,269.44439104235965,167.9710601814388,-18887.11197139123
2019-08-23,2.6301655245955016,2019-09-30,2.0942540767969353,LONG,18268,-9790.030328384208,264.2632509182084,210.41808411209527,-10264.711663414511
2021-08-06,1.1123572266598032,2022-01-20,1.0722694093422134,LONG,42733,-1713.0726974325655,261.43898751769353,252.01708768181442,-2226.5287726320735
2022-05-23,1.2468045324389139,2022-06-28,0.9563047202696278,LONG,38035,-11049.160355858798,260.8221571522275,200.0517751950041,-11510.03428820603
2022-10-17,1.2122059844792314,2023-12-01,2.1499781172933115,LONG,38646,36241.141844732934,257.65801861901406,456.98429876504525,35526.499527348875
2023-12-26,2.6417330800092707,2025-07-28,6.640792121565634,LONG,18406,73606.68071888643,267.4305648885785,672.2673088424538,72666.9828451554
2026-01-07,9.028988092317448,2026-03-13,6.490262209434491,LONG,5787,-14691.606684243674,287.37914749632586,206.57531073298568,-15185.561142472985
2026-03-13,6.820070129497308,2026-06-04,8.865905263639215,LONG,7550,15446.055262771397,283.2034121273757,368.1567160726184,14794.695134571402
