entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
2017-06-12,2.5595220875392872,2018-05-31,2.7410963896373337,LONG,19534,3546.87241718324,274.98737451895835,294.4951728134662,2977.3898698508156
2019-07-29,2.892750905149868,2019-08-12,2.273921892030196,LONG,17336,-10728.019771442632,275.8180133042296,216.81390456129512,-11220.651689308157
2019-08-12,1.703160236041635,2019-09-05,1.5924325523377203,LONG,29115,-3223.836511039474,272.73130649793706,255.00020568722,-3751.568023224631
2021-01-18,1.035594402806771,2021-03-23,0.9004506246713526,LONG,47702,-6446.628504615725,271.69958311478723,236.24312633940073,-6954.571214069913
2021-08-31,1.1012931174727112,2021-09-07,1.0305325560715597,LONG,44540,-3151.675404807288,269.78377498729003,252.44956026084995,-3673.908740055428
2021-10-15,1.0750164563526718,2021-11-30,0.8055934334713635,LONG,45458,-12247.431774138517,268.77453940083865,201.41366464307683,-12717.61997818243
2021-11-30,0.8229675197752672,2022-01-25,0.838348961697672,LONG,58608,901.4755481883046,265.2786421944387,270.2367577094744,365.96014828439155
2022-03-09,1.338117801019385,2022-06-24,1.0072638131484426,LONG,36059,-11930.263948638314,265.381543828269,199.7650921107583,-12395.410584577341
2022-06-24,1.035705156635611,2023-11-21,2.334388839551426,LONG,45989,59725.163893615405,261.97074446683314,590.4591458817179,58872.73400326686
2023-12-13,3.0462153405582466,2025-10-02,4.129324118899138,LONG,16602,17981.77193801548,278.15296896171407,377.0527146207992,17326.566254432968
2025-12-17,6.20733828229092,2026-06-04,6.134889802964635,LONG,8287,-600.3805481769308,282.9211678993967,279.6190748844236,-1162.920790960751
